timestamp,pkts_30s_src0,pkts_30s_src1,pkts_30s_src2,pkts_30s_src3,pkts_30s_src4,pkts_30s_src5,pkts_10s_src0,pkts_10s_src1,pkts_10s_src2,pkts_10s_src3,pkts_10s_src4,pkts_10s_src5,pkts_5s_src0,pkts_5s_src1,pkts_5s_src2,pkts_5s_src3,pkts_5s_src4,pkts_5s_src5,avg_pkt_size_30s_src0,avg_pkt_size_30s_src1,avg_pkt_size_30s_src2,avg_pkt_size_30s_src3,avg_pkt_size_30s_src4,avg_pkt_size_30s_src5,avg_pkt_size_10s_src0,avg_pkt_size_10s_src1,avg_pkt_size_10s_src2,avg_pkt_size_10s_src3,avg_pkt_size_10s_src4,avg_pkt_size_10s_src5,avg_pkt_size_5s_src0,avg_pkt_size_5s_src1,avg_pkt_size_5s_src2,avg_pkt_size_5s_src3,avg_pkt_size_5s_src4,avg_pkt_size_5s_src5,pkt_size_var_30s_src0,pkt_size_var_30s_src1,pkt_size_var_30s_src2,pkt_size_var_30s_src3,pkt_size_var_30s_src4,pkt_size_var_30s_src5,pkt_size_var_10s_src0,pkt_size_var_10s_src1,pkt_size_var_10s_src2,pkt_size_var_10s_src3,pkt_size_var_10s_src4,pkt_size_var_10s_src5,pkt_size_var_5s_src0,pkt_size_var_5s_src1,pkt_size_var_5s_src2,pkt_size_var_5s_src3,pkt_size_var_5s_src4,pkt_size_var_5s_src5,tcp_30s_src0,tcp_30s_src1,tcp_30s_src2,tcp_30s_src3,tcp_30s_src4,tcp_30s_src5,tcp_10s_src0,tcp_10s_src1,tcp_10s_src2,tcp_10s_src3,tcp_10s_src4,tcp_10s_src5,tcp_5s_src0,tcp_5s_src1,tcp_5s_src2,tcp_5s_src3,tcp_5s_src4,tcp_5s_src5,udp_30s_src0,udp_30s_src1,udp_30s_src2,udp_30s_src3,udp_30s_src4,udp_30s_src5,udp_10s_src0,udp_10s_src1,udp_10s_src2,udp_10s_src3,udp_10s_src4,udp_10s_src5,udp_5s_src0,udp_5s_src1,udp_5s_src2,udp_5s_src3,udp_5s_src4,udp_5s_src5,queue_avg_30s_src0,queue_var_30s_src0,queue_avg_30s_src1,queue_var_30s_src1,queue_avg_30s_src2,queue_var_30s_src2,queue_avg_30s_src3,queue_var_30s_src3,queue_avg_30s_src4,queue_var_30s_src4,queue_avg_30s_src5,queue_var_30s_src5,queue_avg_10s_src0,queue_var_10s_src0,queue_avg_10s_src1,queue_var_10s_src1,queue_avg_10s_src2,queue_var_10s_src2,queue_avg_10s_src3,queue_var_10s_src3,queue_avg_10s_src4,queue_var_10s_src4,queue_avg_10s_src5,queue_var_10s_src5,queue_avg_5s_src0,queue_var_5s_src0,queue_avg_5s_src1,queue_var_5s_src1,queue_avg_5s_src2,queue_var_5s_src2,queue_avg_5s_src3,queue_var_5s_src3,queue_avg_5s_src4,queue_var_5s_src4,queue_avg_5s_src5,queue_var_5s_src5,label
5.5,14,0,1,0,0,0,14,0,1,0,0,0,11,0,0,0,0,0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,522.9090909090909,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0,0.0,0.0,0.0,230784.29090909092,0.0,0,0.0,0.0,0.0,10,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.2272727272727273,1.868181818181818,1.2272727272727273,1.868181818181818,1.2272727272727273,1.868181818181818,1.2272727272727273,1.868181818181818,1.2272727272727273,1.868181818181818,1.2272727272727273,1.868181818181818,0
6.0,14,0,1,0,0,0,14,0,1,0,0,0,10,0,0,0,0,0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,562.4,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0,0.0,0.0,0.0,237366.04444444444,0.0,0,0.0,0.0,0.0,10,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,0.85,0.336111111111111,0.85,0.336111111111111,0.85,0.336111111111111,0.85,0.336111111111111,0.85,0.336111111111111,0.85,0.336111111111111,0
6.5,14,0,1,0,0,0,14,0,1,0,0,0,8,0,0,0,0,0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,679.5,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0,0.0,0.0,0.0,226498.0,0.0,0,0.0,0.0,0.0,10,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,0.6875,0.20982142857142858,0.6875,0.20982142857142858,0.6875,0.20982142857142858,0.6875,0.20982142857142858,0.6875,0.20982142857142858,0.6875,0.20982142857142858,0
7.0,14,0,1,0,0,0,14,0,1,0,0,0,6,0,0,0,0,0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,564.6666666666666,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0,0.0,0.0,0.0,253801.0666666667,0.0,0,0.0,0.0,0.0,10,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,0.5833333333333334,0.2416666666666667,0.5833333333333334,0.2416666666666667,0.5833333333333334,0.2416666666666667,0.5833333333333334,0.2416666666666667,0.5833333333333334,0.2416666666666667,0.5833333333333334,0.2416666666666667,0
7.5,14,0,1,0,0,0,14,0,1,0,0,0,4,0,0,0,0,0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,559.0,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0,0.0,0.0,0.0,289070.6666666667,0.0,0,0.0,0.0,0.0,10,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0
8.0,14,0,1,0,0,0,14,0,1,0,0,0,4,0,0,0,0,0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,559.0,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0,0.0,0.0,0.0,289070.6666666667,0.0,0,0.0,0.0,0.0,10,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0
8.5,14,0,1,0,0,0,14,0,1,0,0,0,2,0,0,0,0,0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,542.0,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0,0.0,0.0,0.0,464648.0,0.0,0,0.0,0.0,0.0,10,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
9.0,14,0,1,0,0,0,14,0,1,0,0,0,2,0,0,0,0,0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,542.0,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0,0.0,0.0,0.0,464648.0,0.0,0,0.0,0.0,0.0,10,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
9.5,14,0,1,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,14,0,1,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.5,14,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,430.64285714285717,0.0,64.0,0.0,0.0,0.0,522.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212163.01648351655,0.0,0.0,0.0,0.0,0.0,230784.29090909092,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.9,4.042857142857144,1.2272727272727273,1.868181818181818,1.2272727272727273,1.868181818181818,1.2272727272727273,1.868181818181818,1.2272727272727273,1.868181818181818,1.2272727272727273,1.868181818181818,1.2272727272727273,1.868181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
